timestamp,roll,pitch,yaw,altitude,roll_setpoint,pitch_setpoint,yaw_setpoint
1733388434920026,4.42983803433178e-20,1.326548221393158e-20,2.8783509166830614e-06,0.9568943977355957,0.0,0.0,0.0
1733388434981612,5.825250561413566e-20,1.6182969329787357e-20,2.8783509166830614e-06,0.9502308368682861,0.0,0.0,0.0
1733388435035438,6.798422679134383e-20,1.8217796075424417e-20,2.8783509166830614e-06,0.9600662589073181,0.0,0.0,0.0
1733388435119186,8.778023277309371e-20,2.1338508797804938e-20,2.8783509166830614e-06,0.9657211899757385,0.0,0.0,0.0
1733388435183545,1.4307177710533438e-19,2.8474987861086957e-20,2.8783509166830614e-06,0.9458031058311462,0.0,0.0,0.0
1733388435253427,2.0897766483855768e-19,3.6415817686793555e-20,2.8783509166830614e-06,0.9466607570648193,0.0,0.0,0.0
1733388435338037,3.204876111011919e-19,4.9395198710610735e-20,2.8783509166830614e-06,0.9448080658912659,0.0,0.0,0.0
1733388435398890,4.318539456316427e-19,6.208825666635712e-20,2.8783509166830614e-06,0.9561949968338013,0.0,0.0,0.0
1733388435465686,5.58796623665472e-19,7.637568083504547e-20,2.8783509166830614e-06,0.9507848024368286,0.0,0.0,0.0
1733388435536614,7.954104687549901e-19,1.024136407063301e-19,2.8783509166830614e-06,0.9589453339576721,0.0,0.0,0.0
1733388435599547,1.0554942118742637e-18,1.3053680935802326e-19,2.8783509166830614e-06,0.9560527801513672,0.0,0.0,0.0
1733388435670904,1.3594398593103856e-18,1.6312550941315942e-19,2.8783509166830614e-06,0.9454606175422668,0.0,0.0,0.0
1733388435746448,1.889179744109297e-18,2.1955746312524214e-19,2.8783509166830614e-06,0.9505671262741089,0.0,0.0,0.0
1733388435825445,2.351027855099156e-18,2.685366363325729e-19,2.8783509166830614e-06,0.9582518935203552,0.0,0.0,0.0
1733388435889211,2.8941749707793154e-18,3.259733604051004e-19,2.8783509166830614e-06,0.9597498774528503,0.0,0.0,0.0
1733388435948854,3.801806247315552e-18,4.2169255966074545e-19,2.8783509166830614e-06,0.9571336507797241,0.0,0.0,0.0
1733388436011218,4.461515365214803e-18,4.911235120842484e-19,2.8783509166830614e-06,0.9424735903739929,0.0,0.0,0.0
1733388436073859,5.2056601171481704e-18,5.693368393064467e-19,2.8783509166830614e-06,0.9645682573318481,0.0,0.0,0.0
1733388436125885,6.29543714375585e-18,6.837269090893318e-19,2.8783509166830614e-06,0.9669119715690613,0.0,0.0,0.0
1733388436184389,7.191971225543901e-18,7.776502003675345e-19,2.8783509166830614e-06,0.9614155292510986,0.0,0.0,0.0
1733388436244522,8.622751995999904e-18,9.269365826162645e-19,2.8783509166830614e-06,0.9693323969841003,0.0,0.0,0.0
1733388436313284,9.685280717499829e-18,1.0374298234767947e-18,2.8783509166830614e-06,0.957165539264679,0.0,0.0,0.0
1733388436380164,1.1031111309400994e-17,1.1770391019241377e-18,2.8783509166830614e-06,0.9554276466369629,0.0,0.0,0.0
1733388436455713,1.2440690655619296e-17,1.3229319420539617e-18,2.8783509166830614e-06,0.9598941802978516,0.0,0.0,0.0
1733388436535244,1.4333781462204875e-17,1.5184498222009889e-18,2.8783509166830614e-06,0.9604137539863586,0.0,0.0,0.0
1733388436615186,1.5818516295509394e-17,1.671520775303885e-18,2.8783509166830614e-06,0.9543566703796387,0.0,0.0,0.0
1733388436669262,1.7436395212387325e-17,1.8379790331734565e-18,2.8783509166830614e-06,0.9453433752059937,0.0,0.0,0.0
1733388436743041,2.0170702790778286e-17,2.1172902704348975e-18,2.8783509166830614e-06,0.9527503848075867,0.0,0.0,0.0
1733388436802036,2.1248242016582662e-17,2.2266920233114375e-18,2.8783509166830614e-06,0.9566631317138672,0.0,0.0,0.0
1733388436880089,2.3825006007961703e-17,2.4869438126518142e-18,2.8783509166830614e-06,0.94107586145401,0.0,0.0,0.0
1733388436934008,2.570873555811516e-17,2.676090668843324e-18,2.8783509166830614e-06,0.9545862674713135,0.0,0.0,0.0
1733388436991553,2.7648911720810506e-17,2.8700219749070254e-18,2.8783509166830614e-06,0.9544715881347656,0.0,0.0,0.0
1733388437064817,3.0301647519871455e-17,3.133860203854289e-18,2.8783509166830614e-06,0.9564738869667053,0.0,0.0,0.0
1733388437099935,3.2305229013325114e-17,3.332214792423588e-18,2.8783509166830614e-06,0.9639663100242615,0.0,0.0,0.0
1733388437164954,3.4428571864767e-17,3.541569178146961e-18,2.8783509166830614e-06,0.9495168328285217,0.0,0.0,0.0
1733388437239920,3.721737092336365e-17,3.814483672820965e-18,2.8783509166830614e-06,0.955458402633667,0.0,0.0,0.0
1733388437286905,3.948365663015917e-17,4.0345084586065725e-18,2.8783509166830614e-06,0.951140284538269,0.0,0.0,0.0
1733388437345424,4.1564540112530823e-17,4.235205943811624e-18,2.8783509166830614e-06,0.9619364738464355,0.0,0.0,0.0
1733388437405278,4.455038392445831e-17,4.521059802916811e-18,2.8783509166830614e-06,0.9557111263275146,0.0,0.0,0.0
